,SCORE,Quarter,Time,Clock,Team,Score
214,54 - 35,2,1534.0,01:34,Home,35
214,54 - 35,2,1534.0,01:34,Away,54
215,54 - 35,2,1532.0,01:32,Home,35
215,54 - 35,2,1532.0,01:32,Away,54
216,54 - 35,2,1527.0,01:27,Home,35
216,54 - 35,2,1527.0,01:27,Away,54
217,54 - 35,2,1527.0,01:27,Away,54
217,54 - 35,2,1527.0,01:27,Home,35
218,54 - 35,2,1526.0,01:26,Away,54
218,54 - 35,2,1526.0,01:26,Home,35
219,54 - 36,2,1526.0,01:26,Away,54
219,54 - 36,2,1526.0,01:26,Home,36
220,54 - 37,2,1526.0,01:26,Home,37
220,54 - 37,2,1526.0,01:26,Away,54
221,54 - 37,2,1514.0,01:14,Away,54
221,54 - 37,2,1514.0,01:14,Home,37
222,54 - 37,2,1512.0,01:12,Away,54
222,54 - 37,2,1512.0,01:12,Home,37
223,54 - 37,2,1502.0,01:02,Away,54
223,54 - 37,2,1502.0,01:02,Home,37
224,54 - 37,2,1499.6999999999998,59.7,Away,54
224,54 - 37,2,1499.6999999999998,59.7,Home,37
225,54 - 37,2,1491.5,51.5,Away,54
225,54 - 37,2,1491.5,51.5,Home,37
226,54 - 37,2,1491.5,51.5,Home,37
226,54 - 37,2,1491.5,51.5,Away,54
227,54 - 37,2,1485.0,45.0,Home,37
227,54 - 37,2,1485.0,45.0,Away,54
228,54 - 37,2,1481.9,41.9,Home,37
228,54 - 37,2,1481.9,41.9,Away,54
229,54 - 37,2,1481.9,41.9,Home,37
229,54 - 37,2,1481.9,41.9,Away,54
230,54 - 37,2,1481.9,41.9,Home,37
230,54 - 37,2,1481.9,41.9,Away,54
231,54 - 37,2,1476.9,36.9,Home,37
231,54 - 37,2,1476.9,36.9,Away,54
232,54 - 37,2,1473.6999999999998,33.7,Away,54
232,54 - 37,2,1473.6999999999998,33.7,Home,37
233,54 - 37,2,1471.6,31.6,Away,54
233,54 - 37,2,1471.6,31.6,Home,37
234,54 - 39,2,1463.0,23.0,Away,54
234,54 - 39,2,1463.0,23.0,Home,39
235,54 - 39,2,1442.9,2.9,Away,54
235,54 - 39,2,1442.9,2.9,Home,39
236,54 - 39,2,1441.9,1.9,Away,54
236,54 - 39,2,1441.9,1.9,Home,39
237,54 - 39,2,1440.1,0.1,Home,39
237,54 - 39,2,1440.1,0.1,Away,54
238,54 - 39,2,1440.1,0.1,Away,54
238,54 - 39,2,1440.1,0.1,Home,39
239,54 - 39,2,1440.1,0.1,Away,54
239,54 - 39,2,1440.1,0.1,Home,39
240,57 - 39,3,2134.0,11:34,Away,57
240,57 - 39,3,2134.0,11:34,Home,39
241,57 - 41,3,1397.0,11:17,Home,41
241,57 - 41,3,1397.0,11:17,Away,57
242,57 - 41,3,1391.0,11:11,Home,41
242,57 - 41,3,1391.0,11:11,Away,57
243,57 - 41,3,1388.0,11:08,Away,57
243,57 - 41,3,1388.0,11:08,Home,41
244,57 - 41,3,1379.0,10:59,Home,41
244,57 - 41,3,1379.0,10:59,Away,57
245,57 - 41,3,1376.0,10:56,Away,57
245,57 - 41,3,1376.0,10:56,Home,41
246,57 - 41,3,1363.0,10:43,Home,41
246,57 - 41,3,1363.0,10:43,Away,57
247,57 - 41,3,1361.0,10:41,Home,41
247,57 - 41,3,1361.0,10:41,Away,57
248,57 - 41,3,1342.0,10:22,Home,41
248,57 - 41,3,1342.0,10:22,Away,57
249,57 - 41,3,1338.0,10:18,Home,41
249,57 - 41,3,1338.0,10:18,Away,57
250,57 - 41,3,1317.0,09:57,Away,57
250,57 - 41,3,1317.0,09:57,Home,41
251,57 - 41,3,1316.0,09:56,Away,57
251,57 - 41,3,1316.0,09:56,Home,41
252,57 - 41,3,1316.0,09:56,Away,57
252,57 - 41,3,1316.0,09:56,Home,41
253,57 - 44,3,1304.0,09:44,Away,57
253,57 - 44,3,1304.0,09:44,Home,44
254,57 - 44,3,1281.0,09:21,Away,57
254,57 - 44,3,1281.0,09:21,Home,44
255,57 - 44,3,1279.0,09:19,Home,44
255,57 - 44,3,1279.0,09:19,Away,57
256,60 - 44,3,1276.0,09:16,Away,60
256,60 - 44,3,1276.0,09:16,Home,44
257,60 - 44,3,1253.0,08:53,Away,60
257,60 - 44,3,1253.0,08:53,Home,44
258,60 - 44,3,1251.0,08:51,Away,60
258,60 - 44,3,1251.0,08:51,Home,44
259,60 - 44,3,1247.0,08:47,Away,60
259,60 - 44,3,1247.0,08:47,Home,44
260,60 - 44,3,1233.0,08:33,Away,60
260,60 - 44,3,1233.0,08:33,Home,44
261,60 - 44,3,1215.0,08:15,Away,60
261,60 - 44,3,1215.0,08:15,Home,44
262,60 - 47,3,1201.0,08:01,Home,47
262,60 - 47,3,1201.0,08:01,Away,60
263,63 - 47,3,1183.0,07:43,Home,47
263,63 - 47,3,1183.0,07:43,Away,63
264,63 - 47,3,1166.0,07:26,Away,63
264,63 - 47,3,1166.0,07:26,Home,47
265,63 - 47,3,1163.0,07:23,Away,63
265,63 - 47,3,1163.0,07:23,Home,47
266,66 - 47,3,1154.0,07:14,Home,47
266,66 - 47,3,1154.0,07:14,Away,66
267,66 - 50,3,1133.0,06:53,Home,50
267,66 - 50,3,1133.0,06:53,Away,66
268,69 - 50,3,1114.0,06:34,Home,50
268,69 - 50,3,1114.0,06:34,Away,69
269,69 - 50,3,1102.0,06:22,Home,50
269,69 - 50,3,1102.0,06:22,Away,69
270,69 - 50,3,1100.0,06:20,Away,69
270,69 - 50,3,1100.0,06:20,Home,50
